aspect,pos,neg,neu
操作のしやすさ,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    戦闘でカメラとコントロールも問題ない
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
チャレンジ,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    バトルバランスもよく、難易度を4段階から選べる為、戦闘に自信のある方もない方も安心してプレイ出来ます
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    ボス達は簡単のもいるが、ほとんどかなり難しいと思う
難易度ハードでプレイしました。DLCもりもりでもそこそこ厳しめです。
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
進捗感,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
目的とルール,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
視聴覚,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    結構最近の作品なのでグラフィックや絵はきれいだった。キャラの表情もアニメみたいなレベルの標準。特にカットシーンの時、絵が超きれい。声優さん達の声はとても自然気がする。それはメインキャラ達の声だけじゃなくてクエストの NPCも。サウンドトラックも悪くない。
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
遊ぶ意義,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
没入感,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    気づいたらゲームだけに熱中していました
その瞬間RPGの没入感はなくなり
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
成長感,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
好奇心,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    ゲームクリア後のストーリーDLCも出てワクワクが止まらないけど
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
自由度,"
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    ","
    以下の文章をそれぞれ要約してください。
    # 注意
    箇条書きでそれぞれ出力
    常体で出力
    出力形式以外の出力をしない
    # 出力例
    - (要約1)
    - (要約2)
    - (要約3)
    # レビュー文
    
    "
